date,code,open,high,low,close,volume
2024-01-02,sh.601318,40.3,40.31,39.46,39.47,43759204
2024-01-03,sh.601318,39.47,39.66,39.19,39.4,36382151
2024-01-04,sh.601318,39.36,39.58,38.66,38.9,46739190
2024-01-05,sh.601318,38.85,39.58,38.68,38.97,49920187
2024-01-08,sh.601318,38.97,39.17,38.22,38.45,51473197
2024-01-09,sh.601318,38.45,38.58,38.2,38.38,37065054
2024-01-10,sh.601318,38.29,38.45,37.82,37.82,44130380
2024-01-11,sh.601318,37.8,38.66,37.62,38.43,38157129
2024-01-12,sh.601318,38.19,38.54,38.03,38.03,30300054
2024-01-15,sh.601318,37.87,38.49,37.7,38.17,32702181
2024-01-16,sh.601318,38.04,38.76,37.94,38.7,54496285
2024-01-17,sh.601318,38.46,38.55,38.01,38.01,56122897
2024-01-18,sh.601318,37.75,39.03,37.64,38.99,86154364
2024-01-19,sh.601318,38.8,39.34,38.55,39.2,63974391
2024-01-22,sh.601318,39.07,39.93,38.97,39.48,96109863
2024-01-23,sh.601318,39.2,39.71,38.7,39.36,60172097
2024-01-24,sh.601318,39.66,40.3,39.08,40.17,76115099
2024-01-25,sh.601318,40.15,41.51,40.0,41.15,98658100
2024-01-26,sh.601318,41.05,41.34,40.65,41.25,78592524
2024-01-29,sh.601318,41.26,41.69,40.92,40.98,62078477
2024-01-30,sh.601318,40.6,40.91,40.17,40.19,57063998
2024-01-31,sh.601318,40.15,40.85,39.99,40.51,55701366
2024-02-01,sh.601318,40.12,40.63,39.93,40.3,49092479
2024-02-02,sh.601318,40.3,40.55,39.0,40.1,69077347
2024-02-05,sh.601318,40.0,40.99,39.68,40.68,80614793
2024-02-06,sh.601318,40.67,41.68,40.37,41.56,82383496
2024-02-07,sh.601318,41.69,42.4,41.35,42.38,91615404
2024-02-08,sh.601318,42.52,42.95,42.15,42.78,76874651
2024-02-19,sh.601318,42.99,43.08,42.52,42.73,54413427
2024-02-20,sh.601318,42.65,42.67,42.1,42.35,46935509
2024-02-21,sh.601318,42.18,44.3,42.02,43.59,111249194
2024-02-22,sh.601318,43.36,43.74,43.21,43.7,51745219
2024-02-23,sh.601318,43.68,44.45,43.6,44.07,64421676
2024-02-26,sh.601318,43.9,43.91,42.9,42.95,61619568
2024-02-27,sh.601318,42.82,43.15,42.7,43.12,42901252
2024-02-28,sh.601318,43.19,43.28,42.65,42.65,53576359
2024-02-29,sh.601318,42.52,43.07,42.5,42.9,45509167
2024-03-01,sh.601318,42.8,43.09,42.52,42.99,44577376
2024-03-04,sh.601318,42.73,42.82,42.2,42.34,54504680
2024-03-05,sh.601318,42.15,42.88,42.05,42.81,62343723
2024-03-06,sh.601318,42.79,42.91,42.46,42.5,34276283
2024-03-07,sh.601318,42.77,43.46,42.73,43.06,64896213
2024-03-08,sh.601318,42.87,43.2,42.55,42.88,37249362
2024-03-11,sh.601318,42.78,43.28,42.74,43.16,43597274
2024-03-12,sh.601318,43.17,43.88,42.88,43.81,67920636
2024-03-13,sh.601318,43.73,43.76,42.57,42.63,70121585
2024-03-14,sh.601318,42.37,42.89,42.3,42.45,36088956
2024-03-15,sh.601318,42.51,42.64,42.02,42.48,39867511
2024-03-18,sh.601318,42.35,42.66,42.07,42.56,41626271
2024-03-19,sh.601318,42.4,42.4,41.8,41.83,48601533
2024-03-20,sh.601318,41.75,42.05,41.68,41.92,28361668
2024-03-21,sh.601318,42.09,42.43,41.81,42.03,41497624
2024-03-22,sh.601318,41.03,41.13,40.25,40.56,112550368
2024-03-25,sh.601318,40.45,40.88,40.35,40.44,43760130
2024-03-26,sh.601318,40.44,40.95,40.44,40.9,40299063
2024-03-27,sh.601318,40.78,40.98,40.65,40.65,34619025
2024-03-28,sh.601318,40.6,41.26,40.45,40.69,43233995
2024-03-29,sh.601318,40.78,41.24,40.69,40.81,33512184
2024-04-01,sh.601318,40.95,41.25,40.9,41.25,38706274
2024-04-02,sh.601318,41.19,41.46,40.91,41.0,39996585
2024-04-03,sh.601318,40.9,41.05,40.5,40.5,46364011
2024-04-08,sh.601318,40.28,40.43,39.88,40.22,43590246
2024-04-09,sh.601318,40.27,40.48,40.1,40.11,29392411
2024-04-10,sh.601318,39.99,40.07,39.1,39.2,66754496
2024-04-11,sh.601318,39.03,39.14,38.61,38.95,44321365
2024-04-12,sh.601318,38.8,38.99,37.67,37.78,91894711
2024-04-15,sh.601318,37.78,38.5,37.68,38.36,77160909
2024-04-16,sh.601318,38.36,38.79,38.08,38.28,62674707
2024-04-17,sh.601318,38.27,39.02,38.01,38.95,59458529
2024-04-18,sh.601318,38.9,40.3,38.81,39.7,84608897
2024-04-19,sh.601318,39.47,39.78,39.2,39.42,36839491
2024-04-22,sh.601318,39.49,40.09,39.49,39.83,39122784
2024-04-23,sh.601318,39.82,40.1,39.61,39.89,34265310
2024-04-24,sh.601318,40.39,40.7,40.11,40.6,54996437
2024-04-25,sh.601318,40.52,41.28,40.3,41.06,58217790
2024-04-26,sh.601318,40.99,41.78,40.81,41.53,69427606
2024-04-29,sh.601318,41.5,42.88,41.41,42.08,87545482
2024-04-30,sh.601318,42.08,42.16,41.32,41.36,51819014
2024-05-06,sh.601318,43.15,43.28,42.37,42.49,106274704
2024-05-07,sh.601318,42.5,42.79,42.19,42.59,52815226
2024-05-08,sh.601318,42.45,42.7,41.88,41.95,44733513
2024-05-09,sh.601318,41.87,42.58,41.86,42.34,41354149
2024-05-10,sh.601318,42.6,43.18,42.52,42.93,67767018
2024-05-13,sh.601318,42.51,42.89,42.17,42.65,49348084
2024-05-14,sh.601318,42.65,42.8,42.15,42.31,39651152
2024-05-15,sh.601318,42.28,42.3,41.66,41.84,39911880
2024-05-16,sh.601318,42.2,43.39,41.96,43.05,93478227
2024-05-17,sh.601318,43.6,45.2,43.45,45.2,189457995
2024-05-20,sh.601318,45.7,46.07,44.83,45.46,147945253
2024-05-21,sh.601318,45.08,45.54,45.02,45.4,55109616
2024-05-22,sh.601318,45.3,46.05,45.15,45.4,75133666
2024-05-23,sh.601318,44.92,45.17,44.52,44.78,63592313
2024-05-24,sh.601318,44.55,44.8,43.86,43.89,54128575
2024-05-27,sh.601318,44.0,44.39,43.88,44.1,41274221
2024-05-28,sh.601318,44.16,44.35,43.62,43.76,42192179
2024-05-29,sh.601318,43.59,44.13,43.36,43.47,43942250
2024-05-30,sh.601318,43.31,43.66,42.9,43.15,39395493
2024-05-31,sh.601318,43.4,44.1,43.06,43.07,48249218
2024-06-03,sh.601318,42.99,43.46,42.61,43.13,44651840
2024-06-04,sh.601318,43.08,43.51,43.01,43.27,39817760
2024-06-05,sh.601318,43.26,43.28,42.94,43.08,36188007
2024-06-06,sh.601318,43.2,43.33,42.37,42.45,54262089
2024-06-07,sh.601318,42.6,42.78,42.0,42.12,42139379
2024-06-11,sh.601318,41.91,42.19,41.6,41.83,42236279
2024-06-12,sh.601318,41.83,41.9,41.36,41.4,39834017
2024-06-13,sh.601318,41.58,41.66,41.19,41.3,32042801
2024-06-14,sh.601318,41.19,42.19,41.16,41.87,63562438
2024-06-17,sh.601318,41.6,41.83,41.38,41.58,38472747
2024-06-18,sh.601318,41.7,42.05,41.57,41.73,35345219
2024-06-19,sh.601318,41.74,42.19,41.61,42.0,41063957
2024-06-20,sh.601318,41.99,42.07,41.51,41.51,36478992
2024-06-21,sh.601318,41.49,41.82,41.32,41.67,38505452
2024-06-24,sh.601318,41.53,42.05,41.22,41.8,44592791
2024-06-25,sh.601318,41.79,42.12,41.44,41.55,38283591
2024-06-26,sh.601318,41.48,41.82,41.29,41.65,26506064
2024-06-27,sh.601318,41.51,41.64,41.25,41.42,36797498
2024-06-28,sh.601318,41.35,41.9,41.26,41.36,39934516
2024-07-01,sh.601318,41.41,41.67,40.64,41.62,47419754
2024-07-02,sh.601318,41.41,42.75,41.4,42.17,56885747
2024-07-03,sh.601318,42.18,42.43,41.91,42.27,29574788
2024-07-04,sh.601318,42.26,42.56,41.96,41.98,32485145
2024-07-05,sh.601318,41.95,42.26,40.98,41.12,52671766
2024-07-08,sh.601318,40.9,41.36,40.68,40.84,33954844
2024-07-09,sh.601318,40.83,41.59,40.46,41.52,38140275
2024-07-10,sh.601318,41.07,41.93,41.07,41.86,36127314
2024-07-11,sh.601318,42.27,42.49,41.91,41.94,37556984
2024-07-12,sh.601318,42.0,42.86,42.0,42.68,49569726
2024-07-15,sh.601318,42.6,42.98,42.48,42.53,35484792
2024-07-16,sh.601318,42.0,42.11,40.68,41.19,93998504
2024-07-17,sh.601318,41.25,42.42,41.25,42.29,77840627
2024-07-18,sh.601318,42.19,42.64,41.96,42.37,51362418
2024-07-19,sh.601318,42.37,43.15,42.2,43.03,61077539
2024-07-22,sh.601318,43.1,43.22,42.64,43.0,44056204
2024-07-23,sh.601318,42.96,43.23,42.78,42.79,45978967
2024-07-24,sh.601318,42.8,43.03,42.35,42.56,38609543
2024-07-25,sh.601318,42.49,42.82,42.23,42.57,44047429
2024-07-26,sh.601318,41.15,41.7,40.75,41.09,51037796
2024-07-29,sh.601318,41.08,41.63,41.01,41.32,30564969
2024-07-30,sh.601318,41.28,41.45,41.06,41.33,29692239
2024-07-31,sh.601318,41.34,42.6,41.25,42.56,58087783
2024-08-01,sh.601318,42.42,42.85,42.26,42.51,32514038
2024-08-02,sh.601318,42.23,42.41,41.7,41.82,33137257
2024-08-05,sh.601318,41.7,42.54,41.69,42.0,43050914
2024-08-06,sh.601318,42.37,42.48,40.64,40.9,63434323
2024-08-07,sh.601318,40.92,41.11,40.68,40.7,29978095
2024-08-08,sh.601318,40.75,41.15,40.41,40.82,23643241
2024-08-09,sh.601318,40.99,41.24,40.61,40.61,26178496
2024-08-12,sh.601318,40.53,40.73,40.31,40.62,15219904
2024-08-13,sh.601318,40.62,40.81,40.51,40.78,16650599
2024-08-14,sh.601318,40.81,40.94,40.49,40.49,20650428
2024-08-15,sh.601318,40.51,41.67,40.22,41.32,53416705
2024-08-16,sh.601318,41.32,41.75,41.25,41.61,26957357
2024-08-19,sh.601318,41.61,42.17,41.59,42.07,28791203
2024-08-20,sh.601318,42.15,42.17,41.7,41.92,29376286
2024-08-21,sh.601318,41.98,42.08,41.41,41.97,23617412
2024-08-22,sh.601318,41.96,42.25,41.64,41.71,30497656
2024-08-23,sh.601318,42.04,43.46,41.93,43.35,99423443
2024-08-26,sh.601318,43.46,43.64,43.05,43.35,47580560
2024-08-27,sh.601318,43.28,43.55,42.96,43.15,33964677
2024-08-28,sh.601318,43.24,43.38,42.93,43.19,34839474
2024-08-29,sh.601318,43.18,43.56,42.46,42.62,47694548
2024-08-30,sh.601318,42.71,44.53,42.71,44.03,110000601
2024-09-02,sh.601318,43.88,44.17,43.45,43.45,51317124
2024-09-03,sh.601318,43.61,43.62,43.08,43.21,36821975
2024-09-04,sh.601318,43.22,43.64,42.45,42.64,40994906
2024-09-05,sh.601318,42.63,43.51,42.61,43.42,46651108
2024-09-06,sh.601318,43.42,43.98,43.16,43.25,39025775
2024-09-09,sh.601318,43.08,43.25,42.55,42.68,40172454
2024-09-10,sh.601318,42.75,43.05,42.29,42.66,29365589
2024-09-11,sh.601318,42.64,42.92,42.37,42.52,27407424
2024-09-12,sh.601318,42.73,42.77,41.82,42.6,41083853
2024-09-13,sh.601318,42.56,43.4,42.5,42.89,34439648
2024-09-18,sh.601318,43.0,43.79,42.93,43.7,43263824
2024-09-19,sh.601318,43.72,44.1,43.32,44.03,46650032
2024-09-20,sh.601318,43.98,44.29,43.74,44.15,53292373
2024-09-23,sh.601318,44.13,44.4,43.86,44.09,29524048
2024-09-24,sh.601318,44.6,46.5,44.47,46.5,120899198
2024-09-25,sh.601318,47.6,48.2,47.25,47.36,138298492
2024-09-26,sh.601318,47.59,50.44,47.2,50.42,163765259
2024-09-27,sh.601318,51.9,52.16,50.7,51.9,139487740
2024-09-30,sh.601318,54.48,57.09,54.4,57.09,262125405
2024-10-08,sh.601318,62.8,62.8,59.1,61.73,396104253
2024-10-09,sh.601318,60.0,60.0,55.65,55.7,285509557
2024-10-10,sh.601318,56.63,60.59,56.31,58.5,222672969
2024-10-11,sh.601318,57.8,59.86,57.03,57.54,131212381
2024-10-14,sh.601318,58.39,59.24,57.55,58.67,117773767
2024-10-15,sh.601318,58.58,59.28,57.09,57.19,102790028
2024-10-16,sh.601318,56.78,57.83,56.61,57.38,85501630
2024-10-17,sh.601318,57.9,58.8,56.97,57.0,78357477
2024-10-18,sh.601318,56.08,58.35,54.75,57.18,149466236
2024-10-21,sh.601318,57.4,57.47,56.18,56.9,87531258
2024-10-22,sh.601318,56.8,58.2,56.58,57.06,84601119
2024-10-23,sh.601318,57.2,59.3,56.9,58.31,119192651
2024-10-24,sh.601318,57.9,58.48,57.63,58.1,51273005
2024-10-25,sh.601318,58.01,58.48,57.56,57.7,53944541
2024-10-28,sh.601318,57.78,58.06,57.08,57.5,57880987
2024-10-29,sh.601318,57.5,58.46,57.44,57.63,62010028
2024-10-30,sh.601318,57.49,57.91,55.68,55.97,90747926
2024-10-31,sh.601318,55.96,56.8,55.4,55.92,75763009
2024-11-01,sh.601318,56.15,57.0,56.0,56.15,65013925
2024-11-04,sh.601318,56.17,56.97,55.93,56.97,53073970
2024-11-05,sh.601318,56.82,58.88,56.28,58.75,120114422
2024-11-06,sh.601318,58.89,59.05,56.95,57.49,126251828
2024-11-07,sh.601318,57.0,61.0,56.9,60.84,186426320
2024-11-08,sh.601318,61.2,61.49,59.01,59.12,132299025
2024-11-11,sh.601318,58.13,58.52,57.52,58.4,91716007
2024-11-12,sh.601318,58.4,58.97,56.88,57.01,96289275
2024-11-13,sh.601318,56.7,57.5,56.62,57.19,61824493
2024-11-14,sh.601318,57.19,58.09,56.9,57.0,66323183
2024-11-15,sh.601318,56.9,57.48,55.8,55.8,78059714
2024-11-18,sh.601318,56.1,57.16,55.38,55.76,68429646
2024-11-19,sh.601318,56.0,56.12,55.1,55.61,52819300
2024-11-20,sh.601318,55.62,55.8,55.2,55.46,46997145
2024-11-21,sh.601318,55.49,55.67,55.12,55.49,41024489
2024-11-22,sh.601318,55.47,55.47,53.0,53.03,100680813
2024-11-25,sh.601318,53.0,53.25,52.14,52.57,70269826
2024-11-26,sh.601318,52.5,53.27,52.37,53.05,40761823
2024-11-27,sh.601318,53.06,53.6,52.79,53.55,44446366
2024-11-28,sh.601318,53.57,53.99,52.83,53.17,42550213
2024-11-29,sh.601318,53.15,54.42,53.04,53.25,56357055
2024-12-02,sh.601318,53.2,54.23,53.18,54.01,44960590
2024-12-03,sh.601318,53.85,54.61,53.55,54.43,47005763
2024-12-04,sh.601318,54.18,54.34,53.71,53.93,38188736
2024-12-05,sh.601318,53.69,54.05,53.49,53.68,29588882
2024-12-06,sh.601318,53.79,55.69,53.78,55.12,78983681
2024-12-09,sh.601318,54.95,55.3,54.45,54.83,51046345
2024-12-10,sh.601318,56.9,57.18,55.5,55.62,100098350
2024-12-11,sh.601318,55.61,55.93,54.88,54.9,50478424
2024-12-12,sh.601318,54.96,55.85,54.7,55.58,52633585
2024-12-13,sh.601318,55.2,55.21,53.68,53.74,88709588
2024-12-16,sh.601318,53.71,53.99,52.93,53.12,65859184
2024-12-17,sh.601318,52.9,53.47,52.74,53.01,53769372
2024-12-18,sh.601318,53.33,53.68,52.88,52.94,50446143
2024-12-19,sh.601318,52.6,52.94,52.35,52.89,40549628
2024-12-20,sh.601318,52.89,53.23,52.52,52.62,46196543
2024-12-23,sh.601318,52.62,53.48,52.62,53.1,55550547
2024-12-24,sh.601318,53.08,53.83,53.0,53.78,49560916
2024-12-25,sh.601318,53.81,54.31,53.57,53.9,41739896
2024-12-26,sh.601318,53.89,53.94,53.36,53.45,37922170
2024-12-27,sh.601318,53.45,53.75,52.71,53.27,53775719
2024-12-30,sh.601318,53.22,53.9,53.21,53.9,53343783
